wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
6720814	Steering Clutch/Brk	Cat D8R	20	Waiting Execution		38	
6720850	Bevel Gear	Cat 16M	20	Waiting Part	31	75	
6720865	Final Drive	Cat 16M	20	Waiting Part	22	42	
6720881	Final Drive	Cat 16M	20	Waiting Part	21	42	
6720884	Torque Convertor	Cat 785C	20	Waiting Submit Part	31	68	
6723465	Bevel Gear	Cat 777D	17	Waiting Part	21	45	
6723477	Bevel Gear	Cat 777D	17	Waiting Part	12	21	
6723538	Engine	Cat 745	17	Inspection	146		
6724755	Engine	Cat 773E	16	Waiting Completion	18		
6727487	Transmission	Cat 16M	14	Waiting Part	86	150	
6727503	Transmission Pump	Cat 16M	14	Waiting Part	8		
6727507	Final Drive	Cat 773E	14	Waiting MPI	47.5	96	
6727514	Transmission	Cat D8R	14	Waiting Part	57	125	
6727647	Engine	Cat D8R	14	Tear Down	36.5	361	
6727659	Engine	Cat D8R	14	Waiting Execution		361	
6727664	Engine	Cat D8R	14	Waiting Execution		361	
6729945	Circle Drive Box	Cat 16M	13	Waiting Execution			
6729965	Engine	Cat D8R	13	Waiting Execution		361	
6733785	Transmission	Cat 777D	10	Waiting Execution		160	
6733803	Transmission	Cat 785C	10	Waiting Execution		179	
6733809	Transmission	Cat 785C	10	Waiting Execution		179	
6733837	Bevel Gear	Cat 745	10	Waiting Submit Part	34	58	
6733849	Bevel Gear	Cat 773E	10	Waiting MPI	25.5	59	
6733858	Bevel Gear	Cat 777D	10	Waiting Submit Part	22	45	
6733912	Engine	Terex Reedrill SKF-11	10	Inspection	188.5	380.02	
6733961	Bevel Gear	Cat 777D	10	Waiting Submit Part	14.5	21	
6733970	Bevel Gear	Cat 777D	10	Waiting Part	23	45	
6733982	Bevel Gear	Cat 777D	10	Waiting Part	14	21	
6737138	Engine	Multiflo MFVC420	8	Inspection	230		
6737161	Engine	Multiflo MF420E	8	Waiting Execution			
6737199	Engine	Cat D8R	8	Waiting Execution			
6737276	Final Drive	Cat 785C	8	Waiting Part	17.5	48	
6737279	Final Drive	Cat 785C	8	Waiting Inspection	8	37	
6738641	Torque Convertor	Cat 785C	7	Waiting Submit Part	30.5	68	
6738679	Torque Convertor	Cat 785C	7	Waiting MPI	29	68	
6738697	Torque Convertor	Cat 785C	7	Waiting MPI	29	68	
6738743	Transmission	Cat 773E	7	Waiting Execution		171	
6738767	Wheel Bearing	Cat 785C	7	Waiting Execution		47	
6738772	Wheel Bearing	Cat 785C	7	Waiting Execution		35	
6738800	Bevel Gear	Cat 773E	7	Waiting Execution		59	
6738818	Pump Drive Box	Cat 789C	7	Waiting Execution		21	
6738899	Transmission	Cat 777D	7	Waiting Inspection	25	160	
6719690	Transmission	Cat 777D	7	Inspection	19.5		
6740149	Engine	Cat 988G	6	Tear Down	52		
6740160	Transmission	Cat 988G	6	Waiting Execution			
6740187	Circle Drive Box	Liebherr R9350	6	Waiting Execution			
6715937	Wheel Bearing	Cat 777D	6	Waiting Execution		41	
6743396	Brake	Cat 777D	3	Waiting Execution			
6743432	Wheel Bearing	Cat 777D	3	Waiting Execution		41	
6743443	Brake	Cat 777D	3	Waiting Execution			
